Date,Stock:Close:00003,Stock:Close:00101,Stock:Close:00338,Stock:Close:01083,Stock:Close:02800,Stock:Divident:00003,Stock:Divident:00101,Stock:Divident:00338,Stock:Divident:01083,Stock:Divident:02800,Stock:pd:00003,Stock:pd:00101,Stock:pd:00338,Stock:pd:01083,Stock:pd:02800
230627,6.709,12.185,1.23,3.37,19.48,0.35,0.78,0.1,0.15,0.66,5.2169,6.4013,8.1301,4.451,3.3881
230628,6.7286,12.126,1.23,3.35,19.53,0.35,0.78,0.1,0.15,0.66,5.2017,6.4325,8.1301,4.4776,3.3794
230629,6.6013,11.8116,1.22,3.34,19.27,0.35,0.78,0.1,0.15,0.66,5.302,6.6037,8.1967,4.491,3.425
230630,6.6307,11.8902,1.23,3.48,19.25,0.35,0.78,0.1,0.15,0.66,5.2785,6.56,8.1301,4.3103,3.4286
230703,6.6796,12.0474,1.25,3.5,19.64,0.35,0.78,0.1,0.15,0.66,5.2398,6.4744,8,4.2857,3.3605
230704,6.6111,11.9688,1.24,3.48,19.76,0.35,0.78,0.1,0.15,0.66,5.2941,6.5169,8.0645,4.3103,3.3401
230705,6.5817,11.8705,1.23,3.45,19.47,0.35,0.78,0.1,0.15,0.66,5.3178,6.5709,8.1301,4.3478,3.3898
230706,6.4348,11.5954,1.21,3.34,19.02,0.35,0.78,0.1,0.15,0.66,5.4392,6.7268,8.2645,4.491,3.47
230707,6.3074,11.3399,1.21,3.33,18.86,0.35,0.78,0.1,0.15,0.66,5.549,6.8784,8.2645,4.5045,3.4995
230710,6.2291,11.3792,1.21,3.37,18.98,0.35,0.78,0,0.15,0.66,5.6188,6.8546,0,4.451,3.4773
230711,6.2487,11.5364,1.19,3.35,19.14,0.35,0.78,0,0.15,0.66,5.6012,6.7612,0,4.4776,3.4483
230712,6.2487,11.3595,1.18,3.39,19.36,0.35,0.78,0,0.15,0.66,5.6012,6.8665,0,4.4248,3.4091
230713,6.3466,11.4971,1.19,3.45,19.85,0.35,0.78,0,0.15,0.66,5.5148,6.7843,0,4.3478,3.3249
230714,6.3858,11.4775,1.2,3.7,19.9,0.35,0.78,0,0.15,0.66,5.4809,6.7959,0,4.0541,3.3166
230718,6.2879,11.1434,1.15,3.5,19.51,0.35,0.78,0,0.15,0.66,5.5662,6.9997,0,4.2857,3.3829
230719,6.2976,11.0058,1.12,3.43,19.44,0.35,0.78,0,0.15,0.66,5.5577,7.0872,0,4.3732,3.3951
230720,6.3368,11.3006,1.12,3.42,19.4,0.35,0.78,0,0.15,0.66,5.5233,6.9023,0,4.386,3.4021
230721,6.2879,11.3399,1.13,3.4,19.59,0.35,0.78,0,0.15,0.66,5.5662,6.8784,0,4.4118,3.3691
230724,6.2389,10.9075,1.13,3.64,19.16,0.35,0.78,0,0.15,0.66,5.61,7.151,0,4.1209,3.4447
230725,6.3368,11.3988,1.16,3.76,19.92,0.35,0.78,0,0.15,0.66,5.5233,6.8428,0,3.9894,3.3133
230726,6.3956,11.3399,1.16,3.76,19.86,0.35,0.78,0,0.15,0.66,5.4725,6.8784,0,3.9894,3.3233
230727,6.5229,11.7133,1.17,3.75,20.12,0.35,0.78,0,0.15,0.66,5.3657,6.6591,0,4,3.2803
230728,6.5425,11.7723,1.18,3.77,20.42,0.35,0.78,0,0.15,0.66,5.3496,6.6257,0,3.9788,3.2321
230731,6.5327,11.8902,1.19,3.78,20.54,0.35,0.78,0,0.15,0.66,5.3577,6.56,0,3.9683,3.2132
230801,6.5523,11.104,1.19,3.67,20.54,0.35,0.78,0,0.15,0.66,5.3416,7.0245,0,4.0872,3.2132
230802,6.3466,10.9861,1.19,3.59,19.99,0.35,0.78,0,0.15,0.66,5.5148,7.0999,0,4.1783,3.3017
230803,6.327,11.0058,1.19,3.62,19.9,0.35,0.78,0,0.15,0.66,5.5318,7.0872,0,4.1436,3.3166
230804,6.2487,10.7896,1.19,3.64,20.04,0.35,0.78,0,0.15,0.66,5.6012,7.2292,0,4.1209,3.2934
230807,6.2683,10.7699,1.19,3.65,20.04,0.35,0.78,0,0.15,0.66,5.5837,7.2424,0,4.1096,3.2934
230808,6.2193,10.7896,1.18,3.67,19.69,0.35,0.78,0,0.15,0.66,5.6276,7.2292,0,4.0872,3.352
230809,6.2683,10.8093,1.19,3.63,19.76,0.35,0.78,0,0.15,0.66,5.5837,7.216,0,4.1322,3.3401
230810,6.2683,10.7503,1.2,3.6,19.78,0.35,0.78,0,0.15,0.66,5.5837,7.2556,0,4.1667,3.3367
230811,6.2976,10.5734,1.17,3.55,19.62,0.35,0.78,0,0.15,0.66,5.5577,7.377,0,4.2254,3.3639
230814,6.1214,10.4162,1.19,3.43,19.3,0.35,0.78,0,0.15,0.66,5.7176,7.4883,0,4.3732,3.4197
230815,6.0822,10.1803,1.16,3.38,19.11,0.35,0.78,0,0.15,0.66,5.7545,7.6619,0,4.4379,3.4537
230816,5.8765,10.2393,1.17,3.27,18.85,0.35,0.78,0,0.15,0.66,5.9559,7.6177,0,4.5872,3.5013
230817,5.8079,10.0821,1.16,3.16,18.88,0.35,0.78,0,0.15,0.66,6.0263,7.7365,0,4.7468,3.4958
230818,5.7492,9.9052,1.17,3.17,18.48,0.35,0.78,0,0.15,0.66,6.0878,7.8747,0,4.7319,3.5714
230821,5.7198,9.8168,1.13,3,18.15,0.35,0.78,0,0.15,0.66,6.1191,7.9456,0,5,3.6364
230822,5.7002,10.0035,1.12,3.05,18.32,0.35,0.78,0,0.15,0.66,6.1401,7.7973,0,4.918,3.6026
230823,5.7296,10.141,1.14,3.05,18.41,0.35,0.78,0,0.15,0.66,6.1086,7.6915,0,4.918,3.585
230824,5.7296,10.4162,1.14,3.12,18.76,0.35,0.78,0,0.15,0.66,6.1086,7.4883,0,4.8077,3.5181
230825,5.71,10.4751,1.13,3.06,18.51,0.35,0.78,0,0.15,0.66,6.1296,7.4462,0,4.902,3.5656
230828,5.71,10.3572,1.11,3.18,18.65,0.35,0.78,0,0.15,0.66,6.1296,7.531,0,4.717,3.5389
230829,5.8,10.4358,1.12,3.27,19.03,0.35,0.78,0,0.15,0.66,6.0345,7.4743,0,4.5872,3.4682
230830,5.77,10.4162,1.12,3.41,19,0.35,0.78,0,0.15,0.66,6.0659,7.4883,0,4.3988,3.4737
230831,5.77,10.2983,1.1,3.31,18.93,0.35,0.78,0,0.15,0.66,6.0659,7.5741,0,4.5317,3.4865
230904,5.84,10.4948,1.14,3.32,19.42,0.35,0.78,0,0.15,0.66,5.9932,7.4323,0,4.5181,3.3986
230905,5.75,10.3572,1.12,3.23,19.02,0.35,0.78,0,0.15,0.66,6.087,7.531,0,4.644,3.47
230906,5.74,10.4555,1.13,3.18,19.02,0.35,0.78,0,0.15,0.66,6.0976,7.4602,0,4.717,3.47
230907,5.69,10.3376,1.12,3.21,18.79,0.35,0.78,0,0.15,0.66,6.1511,7.5453,0,4.6729,3.5125
230911,5.66,10.2,1.13,3.17,18.72,0.35,0.78,0,0.15,0.66,6.1837,7.6471,0,4.7319,3.5256
230912,5.62,10.08,1.11,3.11,18.66,0.35,0.78,0,0.15,0.66,6.2278,7.7381,0,4.8232,3.537
230913,5.56,10.24,1.11,3.08,18.65,0.35,0.78,0,0.15,0.66,6.295,7.6172,0,4.8701,3.5389
230914,5.54,10.4,1.11,3.1,18.7,0.35,0.78,0,0.15,0.66,6.3177,7.5,0,4.8387,3.5294
230915,5.55,10.5,1.11,3.06,18.8,0.35,0.78,0,0.15,0.66,6.3063,7.4286,0,4.902,3.5106
230918,5.52,10.36,1.13,3.16,18.54,0.35,0.78,0,0.15,0.66,6.3406,7.529,0,4.7468,3.5599
230919,5.58,10.46,1.13,3.19,18.63,0.35,0.78,0,0.15,0.66,6.2724,7.457,0,4.7022,3.5427
230920,5.56,10.36,1.14,3.26,18.51,0.35,0.78,0,0.15,0.66,6.295,7.529,0,4.6012,3.5656
230921,5.51,10.2,1.13,3.28,18.28,0.35,0.78,0,0.15,0.66,6.3521,7.6471,0,4.5732,3.6105
230922,5.58,10.38,1.13,3.43,18.7,0.35,0.78,0,0.15,0.66,6.2724,7.5145,0,4.3732,3.5294
230925,5.53,10.18,1.12,3.37,18.34,0.35,0.78,0,0.15,0.66,6.3291,7.6621,0,4.451,3.5987
230926,5.42,10.04,1.11,3.28,18.09,0.35,0.78,0,0.15,0.66,6.4576,7.7689,0,4.5732,3.6484
230927,5.45,10.2,1.11,3.38,18.25,0.35,0.78,0,0.15,0.66,6.422,7.6471,0,4.4379,3.6164
230928,5.33,10.16,1.11,3.45,18,0.35,0.78,0,0.15,0.66,6.5666,7.6772,0,4.3478,3.6667
230929,5.46,10.72,1.11,3.45,18.44,0.35,0.78,0,0.15,0.66,6.4103,7.2761,0,4.3478,3.5792
231003,5.32,10.34,1.06,3.35,17.94,0.35,0.78,0,0.15,0.66,6.5789,7.5435,0,4.4776,3.6789
231004,5.31,10.32,1.03,3.32,17.81,0.35,0.78,0,0.15,0.66,6.5913,7.5581,0,4.5181,3.7058
231005,5.35,10.48,1.02,3.45,17.84,0.35,0.78,0,0.15,0.66,6.5421,7.4427,0,4.3478,3.6996
231006,5.52,10.72,1.04,3.52,18.14,0.35,0.78,0,0.15,0.66,6.3406,7.2761,0,4.2614,3.6384
231009,5.48,10.68,1.07,3.5,18.17,0.35,0.78,0,0.15,0.66,6.3869,7.3034,0,4.2857,3.6324
231010,5.59,10.7,1.06,3.61,18.32,0.35,0.78,0,0.15,0.66,6.2612,7.2897,0,4.1551,3.6026
231011,5.61,10.76,1.06,3.63,18.55,0.35,0.78,0,0.15,0.66,6.2389,7.2491,0,4.1322,3.558
231012,5.7,10.8,1.07,3.55,18.86,0.35,0.78,0,0.15,0.66,6.1404,7.2222,0,4.2254,3.4995
231013,5.6,10.5,1.05,3.53,18.44,0.35,0.78,0,0.15,0.66,6.25,7.4286,0,4.2493,3.5792
231016,5.58,10.44,1.04,3.59,18.27,0.35,0.78,0,0.15,0.66,6.2724,7.4713,0,4.1783,3.6125
231017,5.65,10.44,1.06,3.63,18.4,0.35,0.78,0,0.15,0.66,6.1947,7.4713,0,4.1322,3.587
231018,5.63,10.38,1.04,3.58,18.38,0.35,0.78,0,0.15,0.66,6.2167,7.5145,0,4.1899,3.5909
231019,5.5,10.26,1.03,3.54,17.91,0.35,0.78,0,0.15,0.66,6.3636,7.6023,0,4.2373,3.6851
231020,5.51,10.26,1.02,3.44,17.79,0.35,0.78,0,0.15,0.66,6.3521,7.6023,0,4.3605,3.7099
231024,5.43,10.16,1.02,3.25,17.6,0.35,0.78,0,0.15,0.66,6.4457,7.6772,0,4.6154,3.75
